Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Predicted Rating
 ,1997.0,134.0,Drama,,,J.S. Randhawa,Manmauji,Birbal,Rajendra Bhatia,5.153133333333329
#Homecoming,2021.0,90.0,"Drama, Musical",,,Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana,5.487399999999999
...And Once Again,2010.0,105.0,Drama,,,Amol Palekar,Rajat Kapoor,Rituparna Sengupta,Antara Mali,5.110583333333331
.in for Motion,2008.0,59.0,Documentary,,,Anirban Datta,Unknown,Unknown,Unknown,6.769999999999997
101 Ratein,1990.0,134.0,Thriller,,,Harish,Saraswati,Disco Shanti,Unknown,5.474642857142856
108 Limited,1997.0,134.0,Unknown,,,Anand Anddy,Vijay Raaz,Sanjay Mishra,Brahmanandam,5.987500000000004
108 Teerthyatra,1987.0,134.0,"Comedy, Drama, Fantasy",,,Rajpati,Pravin Anand,Nayan Bhatt,Jeetu,5.573049999999999
11 O'Clock,1948.0,134.0,Unknown,,,Homi Wadia,Aftab,Sayani Atish,Austin Ki Bachchi,6.668083333333334
12 Bulbule,2021.0,134.0,"Comedy, Drama, Family",,,Jagat Joon,Sonu Sonkar,Sunita Verman,Anubhav Dixit,6.0613833333333345
12 Years,1997.0,134.0,Biography,,,Sohail Tatari,Unknown,Unknown,Unknown,6.031999999999996
124a,2021.0,134.0,Documentary,,,Varrun Sukhraj,Unknown,Unknown,Unknown,6.429749999999998
13 May Gulaabi Nagar,2010.0,134.0,Action,,,N.K. Pareek,Nirmal Pandey,Khushi Rajpoot,Raj Singh Verma,4.665392857142859
13 Tribute of Love,2020.0,66.0,Drama,,,Rahul Tiwari,Rahul Tiwari Adhiyari,Anil Arora,Asima Bhatt,6.269499999999997
14 Phere,2021.0,134.0,Comedy,,,Devanshu Singh,Vikrant Massey,Kriti Kharbanda,Gauahar Khan,5.558800000000003
150 Seconds Ago,2002.0,112.0,Unknown,,,Batul Mukhtiar,Unknown,Unknown,Unknown,5.532000000000002
1911,1997.0,134.0,"Drama, History, Sport",,,Nikkhil Advani,John Abraham,Unknown,Unknown,5.592
2 Band Radio,2019.0,134.0,Comedy,,,Saki Shah,Bilal Ahamad Bhagat,Neelu Dogra,Rahat Kazmi,4.37
2 GB Ki Life,1997.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,6.287299999999999
2 Piece,2005.0,134.0,Drama,,,Kishan Shah,Ramesh Goyal,Satnam Kaur,Anil Nagrath,4.653444047619043
2006 Varanasi: The Untold,2018.0,134.0,Drama,,,Aryeman Ramsay,Mukul Dev,Rahul Dev,Ravi Kishan,6.041425000000003
2007 the last encounter,2018.0,134.0,Drama,,,Partha Sarkar,Bidita Bag,Sameer Dharmadhikari,Jatin Goswami,6.047425000000003
21: Battle of Saragarhi,1997.0,134.0,War,,,Rajkumar Santoshi,Randeep Hooda,Vikramjeet Virk,Nitin Chauhan,4.549457142857143
24 Ghante,1998.0,134.0,Thriller,,,Tinnu Anand,Bharat Kapoor,Goga Kapoor,Amrit Pal,5.184899999999998
26th January,1956.0,134.0,Drama,,,Ramesh Saigal,Ajit,Nalini Jaywant,Leela Mishra,6.3212
3 Days 4 Nights in Bihar,2020.0,134.0,Comedy,,,Abhishek Dogra,Jackky Bhagnani,Sharman Joshi,Ruslaan Mumtaz,6.70175833333333
3 Shyaane,2020.0,134.0,Comedy,,,Anees Barudwale,Asrani,Rakesh Bedi,Priyanshu Chatterjee,4.094583333333335
3rd November,2016.0,134.0,Horror,,,Vasant Narkar,Minakshi Bhagat,Pragya Chahar,Kabir Khan,4.615999999999999
4 Sum,1997.0,96.0,"Crime, Drama, Thriller",,,Neeraj Gwal,Pranav Chandrakar,Yashwant Anand Gupta,Neeraj Uke,5.4129999999999985
4pm on the Court,2011.0,115.0,Sport,,,Shine Krishna,Ashish Bhatia,Naveen Kaushik,Vinay Sharma,4.816
5 Rifles,2001.0,134.0,Action,,,Hemant Birje,Anu Kashyap,Raza Murad,Paintal,4.8830228354978376
5 Rupees,2018.0,134.0,Unknown,,,Piyush Panjuani,Shabana Azmi,Yohaan Panjuani,Unknown,4.750333333333333
500 Ka Note,2002.0,134.0,Thriller,,,Tinnu Anand,Birbal,Chandrashekhar,Siddharth Dhawan,4.814114285714288
6387 Meters Black Peak,2020.0,85.0,Documentary,,,Kovid Mittal,Kovid Mittal,Unknown,Unknown,5.695900000000002
64 Kaam Kalayen,2002.0,134.0,Thriller,,,Hemant Birje,Ankush Mohite,Kirti Rawal,Unknown,5.926
69 Opposites Attract,2011.0,96.0,Comedy,,,Amit r Agarwal,Amit r Agarwal,Kiran Kaur,Unknown,5.8451666666666675
